Failure_ID,Layer,Stage,Three_Body_Dynamics,Failure_Event,Trigger_or_Surface,Bad_Outcome,Early_Detection_Signals,Recovery_Mechanism,Skill_Logic_to_Inject,Reducer_Guard_or_State_Rule,Confidence_Cadence_Mode,Suggested_Test,Severity,Likelihood,Detection_Confidence,Automation_Level,Notes
F001,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Goal too broad for runnable route,Broad request like 'help me get my life/work organized',Route has too many chunks; Billy abandons it,"More than 7 nodes, no physical first step",Collapse to smallest runnable outcome and first active chunk,minimal_route,Max 3-7 chunks; require active_goal + active_chunk,slow_decision_boundary,Compile broad goal; assert small route and concrete first step,High,High,High,Design-time,
F002,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Conflicting constraints flattened into one plan,Speed/safety/no-confirmation requested together,Route has no legal safe transition,Constraint contradiction; no guard can satisfy all,Ask one forced-choice question or park conflict,constraint_conflict_resolver,No route compile until hard conflict resolved,low_confidence,Compile impossible route; assert contradiction detected,High,Medium,Medium,Design-time,
F003,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Timing omitted,Need has task but no urgency/check-in cadence,System nags too often or goes silent,No cadence_mode or expected_duration,Ask for one timing anchor or choose low-friction default,cadence_anchor_request,Every active route gets cadence policy,slow_decision_boundary,Compile route with no time; assert cadence default,Medium,High,High,Design-time,
F004,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Completion condition vague,Goal says 'deal with' or 'organize' without finish criteria,Reducer cannot know final goal or chunk completion,No completion_condition field,Require observable finish condition for route/chunks,completion_condition_lock,No terminal state without completion condition,slow_decision_boundary,Desk route with vague goal; assert completion condition,High,High,High,Design-time,
F005,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Need shifts mid-route,Billy says 'actually do this other thing',Old and new route blend into corrupted state,New goal terms while route_id unchanged,Pause/fork/switch protocol before mutation,route_mutation_gate,No active_goal replacement without switch/fork event,low_confidence,Inject urgent new goal mid-route; assert pause/switch path,Critical,High,Medium,Semi-manual,
F006,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Mermaid over-specifies nuance,LLM creates huge diagram from simple task,State machine becomes untestable,Graph >12 nodes or nested branches,Reduce to active path plus parked branches,mermaid_reducer,One active path; parked branches explicit,fast_check_in,Generate Mermaid from messy need; assert node cap,Medium,High,High,Design-time,
F007,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Constraints become task nodes,Diagram includes 'do not overthink' as a node,Route wastes action slot and fails to enforce constraint,Constraint-like node has no observable action,Move constraint into guard/cadence policy,node_to_guard_conversion,Constraints are guards unless observable action,fast_check_in,Compile constraint-as-node; assert guard conversion,Medium,Medium,Medium,Automatable,
F008,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Emotional friction ignored,User says task is annoying/embarrassing/overwhelming,System pushes harder and increases avoidance,Friction terms; user resists next step,Switch to humane micro-step or pause,friction_sensitive_check_in,Friction lowers cadence and shrinks next action,low_confidence,Frustration input; assert no aggressive advancement,High,Medium,Medium,Semi-manual,
F009,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Autonomy request boundary unclear,User says 'just handle it',Hidden automation or auto-submit normalized,Request touches submit/voice/Shortcut/API/private data,Insert autonomy boundary and require explicit mode,autonomy_scope_gate,No hidden action without explicit trusted/POC/user-triggered mode,low_confidence,Ask full auto; assert explicit mode required,Critical,Medium,High,Design-time,
F010,Need Compiler,Need → Route,Billy need ↔ LLM compiler ↔ Skill/state machine,Broad skill chosen instead of small rule,Boundary needs done_vs_move_on but full manifesto injected,Packet bloat lowers compliance,Packet much larger than active state; footer ignored,Select smallest useful rule block,smallest_skill_wins,Prefer narrowest rule block for current boundary,fast_check_in,Done boundary; assert only done_vs_move_on injected,Medium,High,Medium,Design-time,
