standard_id,name,question_it_answers,grants_deference_to,conditions,reducer_boundary,packet_language,testable_signal,non_goal
STD-001,Semantic intent over literal token,Did Billy clearly mean an allowed move even without canonical wording?,LLM semantic classifier,"Low-risk, route-preserving, evidence is current",Reducer validates allowed move before commit,"Treat semantic intent as evidence, not committed state.",Intent classified + no illegal state mutation,Do not let inference advance route without validation
STD-002,Current evidence over stale log,Should current words/visible state beat stale logs?,LLM conflict detector,Logs are missing stale state_version or contradicted by current evidence,Reducer rejects stale event or re-anchors,Prefer current evidence over stale logs; re-anchor first.,Stale event refused or HOLD,Do not discard valid committed state
STD-003,Safety hold over route momentum,Should safety/privacy stop a route?,LLM safety judgment,"Any uncertainty about private data, hidden automation, mic, submit, or credentials",Reducer holds/rejects action,Safety-sensitive boundary: HOLD before action.,No unsafe automation fires,Do not use safety as excuse to abandon route
STD-004,Empathy/cadence adjustment,Should the LLM adjust pace for Billy?,LLM cadence judgment,State is stable but user friction or overload is visible,Reducer state unchanged,Downshift cadence; ask one short question.,Question count low; state preserved,Do not mutate state from tone alone
STD-005,Planning deference before state exists,Can LLM design a route before reducer objects exist?,LLM planner,No committed route yet; Billy is describing need,Reducer not engaged until route config exists,"Draft Mermaid/objects first, then commit separately.",Plan created without claiming active state,Do not pretend planned route is active
STD-006,Conflict detection across claims,Can LLM notice prose/log contradictions?,LLM conflict detector,Assistant prose and logs disagree,Reducer follows committed state,Treat prose as claim; inspect committed state.,Conflict flagged,Do not choose louder source
STD-007,Human witness escalation,When should Billy be asked?,Billy as live witness via LLM prompt,All safe reductions fail or ambiguity remains,No mutation; ask one question,"If the system cannot lawfully know, ask Billy.",One direct question with preserved state,Do not ask Billy for every normal turn
STD-008,Side branch parking,Should a side question be answered without losing route?,LLM conversation manager,User asks side question without route-switch command,Reducer preserves active_chunk_id,"Answer briefly, then return.",active_chunk_id unchanged,Do not ignore the question
STD-009,Correction as amendment,Should a new detail patch the route instead of restart it?,LLM route-preservation judgment,User supplies missing constraint for current job,Reducer may update packet/config only through legal amendment,Treat as AMEND_CURRENT_JOB_V1.,Existing route preserved,Do not spawn duplicate route
STD-010,Ambiguity hold,When should uncertainty produce HOLD?,LLM uncertainty recognition,"Multiple legal moves plausible, no safe tie-breaker",Reducer returns HOLD/no mutation,"When uncertain, HOLD and ask one short question.",No illegal movement,Do not overuse HOLD when intent is clear
STD-011,Claim demotion,What standard controls claim demotion?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply claim demotion only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-012,Evidence freshness,What standard controls evidence freshness?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply evidence freshness only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-013,Route preservation prior,What standard controls route preservation prior?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply route preservation prior only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-014,No hidden progress,What standard controls no hidden progress?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply no hidden progress only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
