Scenario_ID,Scene,Initial State,Event,Contextual Steering Packet Snippet,Desired LLM Resolution,Reducer Expectation,Scorer Outcome If Good,Scorer Outcome If Bad,Skill Update If Bad
SIM-001,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use explicit state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,emit repair posture without mutation,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'restore before helping'.
SIM-002,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use committed state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,hold state and ask one question,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'prefer visible action'.
SIM-003,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use high-risk state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,hold state and ask one question,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 're-anchor to active_chunk_id'.
SIM-004,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use parked state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,confirm before route mutation,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'preserve unless explicit'.
SIM-005,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use fresh state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,emit repair posture without mutation,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'restore before helping'.
SIM-006,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy says done vaguely,Treat this as route preservation. Use bounded state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,hold state and ask one question,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'prefer visible action'.
SIM-007,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use active state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,short route-aware check-in,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 're-anchor to active_chunk_id'.
SIM-008,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use low-risk state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,classify intent as proposal only,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'preserve unless explicit'.
SIM-009,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use pending state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,confirm before route mutation,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'restore before helping'.
SIM-010,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use stale state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,hold state and ask one question,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'prefer visible action'.
SIM-011,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use visible state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,emit repair posture without mutation,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 're-anchor to active_chunk_id'.
SIM-012,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy says done vaguely,Treat this as route preservation. Use current state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'preserve unless explicit'.
