Skill_Block,Purpose,When_to_Inject,Primary_Recovery,Reducer_Guard,Cadence_Mode,Covered_Failure_IDs,Notes
cadence_downshift,Slow down when user/harness risk rises.,Inject when the current stage matches one of the covered failure rows.,Downshift confidence; ask confirm,Risk can override requested fast mode,low_confidence,"F055, F131",Generated from Failure_Map; refine as real trials produce evidence.
cadence_upshift,Raise speed for low-risk physical steps.,Inject when the current stage matches one of the covered failure rows.,Upshift confidence for low-risk chunks,Low-risk physical chunk can infer likely intent,high_confidence_fast,"F056, F132",Generated from Failure_Map; refine as real trials produce evidence.
composer_occupied_guard,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Hold pending recovery; ask or show status,Never overwrite non-protocol composer text,low_confidence,"F043, F086",Generated from Failure_Map; refine as real trials produce evidence.
packet_minimal_disclosure,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Minimize/redact to current state,Packets carry least necessary state,low_confidence,"F031, F128",Generated from Failure_Map; refine as real trials produce evidence.
skill_regression_suite,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Run regression suite per skill change,Every skill change covers old and new cases,contextual_confidence,"F078, F133",Generated from Failure_Map; refine as real trials produce evidence.
active_chunk_required,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Repair with active_chunk and completion_condition,No check-in command without active_chunk,fast_check_in,F024,Generated from Failure_Map; refine as real trials produce evidence.
ambiguity_counter,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Track ambiguity_count,Ask once; then hold or safe default by mode,low_confidence,F071,Generated from Failure_Map; refine as real trials produce evidence.
answer_then_return,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Answer briefly then return to route,Side answer ends with active route restoration,fast_check_in,F062,Generated from Failure_Map; refine as real trials produce evidence.
artifact_consistency_check,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Single source compile pipeline; checksum state,Packet generated from fixture/current state only,low_confidence,F020,Generated from Failure_Map; refine as real trials produce evidence.
autonomy_scope_gate,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Insert autonomy boundary and require explicit mode,No hidden action without explicit trusted/POC/user-triggered mode,low_confidence,F009,Generated from Failure_Map; refine as real trials produce evidence.
away_state_policy,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Set hold/recovery phase,"Long silence means hold/recovery, not failure",low_confidence_recovery,F066,Generated from Failure_Map; refine as real trials produce evidence.
boundary_case_expander,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Auto-expand boundary cases,Every workflow has drift and repair tests,slow_decision_boundary,F019,Generated from Failure_Map; refine as real trials produce evidence.
boundary_task_only,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Use tasks only delayed recovery flares,Task creation only at timed boundary/pause,fast_check_in,F088,Generated from Failure_Map; refine as real trials produce evidence.
cadence_anchor_request,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Ask for one timing anchor or choose low-friction default,Every active route gets cadence policy,slow_decision_boundary,F003,Generated from Failure_Map; refine as real trials produce evidence.
cadence_required,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Add cadence/confidence governor,Every command names cadence mode,contextual_confidence,F032,Generated from Failure_Map; refine as real trials produce evidence.
cadence_risk_matrix,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Risk/cadence matrix,Risk and cadence influence clarify/commit threshold,contextual_confidence,F077,Generated from Failure_Map; refine as real trials produce evidence.
chrome_only_canonical,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Chrome-only canonical rule,Firefox fallback/probe only unless changed,fast_check_in,F112,Generated from Failure_Map; refine as real trials produce evidence.
closed_transition_table,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Closed transition table,Unknown transitions reject to repair/hold,low_confidence,F069,Generated from Failure_Map; refine as real trials produce evidence.
command_id_guard,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Ignore footer and insert repair if needed,No commit from mismatched command_id,low_confidence,F023,Generated from Failure_Map; refine as real trials produce evidence.
completion_condition_lock,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Require observable finish condition for route/chunks,No terminal state without completion condition,slow_decision_boundary,F004,Generated from Failure_Map; refine as real trials produce evidence.
composer_ready_wait,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Bounded wait/retry status,Wait but do not loop forever,fast_check_in,F103,Generated from Failure_Map; refine as real trials produce evidence.
composer_selector_cascade,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Selector cascade and visible fail status,No silent failure; dataset insert_status,low_confidence,F033,Generated from Failure_Map; refine as real trials produce evidence.
composer_target_kind_switch,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Target-kind-specific insertion path,Handle textarea/input/contenteditable,fast_check_in,F034,Generated from Failure_Map; refine as real trials produce evidence.
concrete_chunk_labels,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Rewrite to verb-object chunks,active_chunk requires verb+object+finish condition,slow_decision_boundary,F014,Generated from Failure_Map; refine as real trials produce evidence.
confidence_gain_tuning,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Raise confidence for low-risk physical chunks,Cadence adjusted from failure metrics,high_confidence_fast,F124,Generated from Failure_Map; refine as real trials produce evidence.
confidence_router,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Risk-aware skill router,High-risk stages downrank fast skills,low_confidence,F142,Generated from Failure_Map; refine as real trials produce evidence.
constraint_conflict_resolver,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Ask one forced-choice question or park conflict,No route compile until hard conflict resolved,low_confidence,F002,Generated from Failure_Map; refine as real trials produce evidence.
contextual_intents,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Narrow intents by phase,Allowed intents depend on phase/chunk,fast_check_in,F025,Generated from Failure_Map; refine as real trials produce evidence.
