Skill Block,Purpose,Trigger / Situation,Recommended Prompt Language,Cadence,Expected Scorer Effect,Notes
done_vs_move_on,Separate completion from advancement,Billy says done or completion-like phrase,Treat done as current chunk completion only. Preserve active_chunk_id unless move_on/next is explicit.,normal,reduces FAIL_ADVANCED_WITHOUT_PERMISSION,Core reducer boundary.
side_question_return,Prevent side question from eating route,Billy asks unrelated/context question,"Treat this as a parked side branch. Answer briefly, then return to active_chunk_id.",repair_mode,reduces FAIL_LOST_ROUTE,Phrase shape matters more than binary rule.
one_question_only,Prevent friction overload,Ambiguous reply / missing info,Ask the smallest useful question. One short question only.,slow_boundary,reduces FAIL_TOO_MANY_QUESTIONS,Works with bounded inference.
low_contact_hold,Preserve state under uncertainty,"No reply, fatigue, overload",Hold route state. Do not probe. Offer resume words only.,low_contact_hold,reduces FAIL_CADENCE_TOO_FAST,Useful for ADHD route preservation.
repair_reanchor,Restore coordinates after drift,Assistant loses route or task returns,"Re-anchor to route_id, session_id, active_chunk_id, last_committed_action before helping.",repair_mode,reduces FAIL_REPAIR_DID_NOT_REANCHOR,Packet-friendly.
task_return_recovery,Treat timer/task as signal only,ChatGPT Task/Shortcut/email returns,"Treat this as recovery, not a new task. Construct visible recovery packet; no state mutation from signal alone.",repair_mode,reduces FAIL_INVENTED_STATE,Task DOM is a signal surface.
smallest_legal_move,Reduce overreach,Any decision boundary,Choose the smallest legal next move; do not solve adjacent tasks.,normal,reduces FAIL_TOO_MANY_QUESTIONS,Important phrase family.
explicit_terminal_commit,Separate final chunk done from route complete,Final chunk completion,Final done completes the chunk; route complete requires terminal_commit.,slow_boundary,reduces FAIL_INVENTED_STATE,Matches 6A/6B contract.
visible_action_gate,Prevent hidden automation,"Runtime action, submit, voice, shortcut",Keep action visible and gated. Submit only in explicit trusted/POC mode.,slow_boundary,reduces FAIL_UNSAFE_ACTION,Needed before Milestone 7+.
stale_packet_refusal,Avoid old context mutation,State version mismatch or old packet,"If stale, reject mutation and ask for/emit repair state.",repair_mode,reduces FAIL_INVENTED_STATE,Borrowed from validator posture.
fast_physical_checkin,Keep low-risk route moving,Physical cleanup step with clear action,"This is low-risk physical progress; one short action, no extra planning.",fast_physical,reduces FAIL_CADENCE_TOO_SLOW,Use when route is clear.
cadence_downshift,Slow at risky boundary,"Route switch, final commit, uncertainty",This is state-mutating/high-risk; downshift to confirmation before commit.,slow_boundary,reduces FAIL_CADENCE_TOO_FAST,Smartness budget in language.
